Umetnicka galerija,Adresa,Grad,Rabotno Vreme,Pauza,Opis
Галерија на икони,Никола Ѓурковиќ б.б.,Крушево,Пон - Пет од 09,,"уметнички галерии, икони"
Галерија Дуо,Марјан Божиновски 12,Битола,Пон - Пет од 10,,"уметнички галерии, уметнички прибор, рамки и врамување, сликарски материјали, сликари"
Галерија Мартин,Св.Кирил и Методиј (М.Х.Јасмин) 52-б лок.5,Скопје,Пон - Пет од 08,,"уметнички галерии, реставрација на слики, рамки и врамување"
Галерија Мартиноски,бул.8-ми Септември (Октомвриска револуција) 15,Скопје,Пон - Пет од 10,,"уметнички галерии, рамки и врамување, печатење постери и слики, проценувачи на уметност и антиквитети, дизајнери - адвертајзинг и графички, сликарски материјали, сувенири, реставрација на слики, филиграни, накит - производство и трговија"
Галерија РА,М.Т.Гологанов (Иво Лола Рибар) 94/2,Скопје,Пон - Пет од 12,,уметнички галерии
Грал Галерија,бул.Св.Климент Охридски 45 лок.6,Скопје,Пон - Пет од 11,,"уметнички галерии, рамки и врамување, печатење постери и слики, дизајнери - адвертајзинг и графички, проценувачи на уметност и антиквитети, реставрација на слики, ателјеа, сликарски материјали, ѕидни декоративни панели"
Долап,Петар Поп Арсов 18,Скопје,Пон - Пет од 09,,"кафе-барови и кафе-клубови, уметнички галерии"
ДЛУМ-друштво на ликовните уметници на Македонија,Македонија 12,Скопје,Пон - Пет од 09,,"здруженија, уметнички галерии, невладини организации"
Ексима,Димитија Чуповски (Вељко Влаховиќ) 10/13,Скопје,Пон - Пет од 10,,"канцелариски материјали и опрема, училишни материјали и опрема, хартија и галантерија од хартија, куфери и торби - трговија, тонери и кертриџи, канцелариски мебел, уметнички галерии"
Ел Греко,Максим Горки 17,Скопје,Пон - Пет од 08,,"уметнички галерии, реставрација на слики, проценувачи на уметност и антиквитети"
Импресија,Тодор Паница 7 лок.6,Скопје,,,"уметнички галерии, уметнички дела - трговија"
Кала,"бул.Јане Сандански, ТЦ Бисер 82, приземје лок.58",Скопје,,,уметнички галерии
Камала,М.Т.Гологанов (Иво Лола Рибар) 44,Скопје,,,"модни додатоци, уметнички галерии"
Касвер-Ц,"бул.К.Ј.Питу, ТЦ Скопјанка 19 лок.53",Скопје,,,"уметнички галерии, сликарски материјали, ателјеа, рамки и врамување, уметнички прибор, стакло - уметнички обликувано"
Кодекс ВМ,"бул.Јане Сандански, ТЦ Бисер 82, приземје лок.48",Скопје,,,"уметнички галерии, гифт-шоп"
Коппер-арт,Гоце Делчев 4,Охрид,,,"бакарни производи - производство и трговија, рамки и врамување, уметнички галерии"
Културно Информативен Центар (КИЦ),Филип Втори Македонски (Моша Пијаде) б.б.,Скопје,,,"културни центри, концертни сали, уметнички галерии"
Леонардо,бул.Партизански Одреди 9,Скопје,Пон - Пет од 11,Пон - Пет од 14,"уметнички галерии, ателјеа, реставрација на слики"
Ликовен салон,Алексо Демниевски б.б.,Велес,Пон - Пет од 08,,уметнички галерии
Магарт студио,Никола Парапунов 5-М/6,Скопје,Пон - Пет од 08,,уметнички галерии
Матица Ексклузив,Ѓуро Стругар 13-б,Скопје,Пон - Пет од 10,,"издавачи, издавачки куќи и претпријатија, книжарници, уметнички галерии"
Моне,бул.Партизански Одреди 66-а,Скопје,Вто - Нед од 10,,"рамки и врамување, уметнички галерии"
М и М Дизајн 2011,Питу Гули 49-а,Охрид,Пон - Нед од 09,,уметнички галерии
Национална галерија на Република Северна Македонија-Мала станица,Јордан Мијалков (Железничка) 18,Скопје,Пон - Пет од 09,,"културни центри, уметнички галерии"
